Lot_ID,Mine,Lot_station,Station_ID,Station_site,Station_waypoint,Station_latitude,Station_longitude,Station_waterbody,Site_province,Site_region,Site_locality,Site_narrative_loc,Site_name,Site_category,Site_waterbody,Site_comments,Metal,Resource,Number of Families,Families,Number of Beings,Beings
SLMB24-L1-SED-R3,HBMS Flin Flon Metallurgical Complex,SLMB24-L1-SED-R3,SLMB24-L1-SED-R3,SLMB,SLMB24-L1-SED-R3,54.66130231,-101.8175166,Schist Lake Main Basin,Manitoba,Northern Manitoba,"Schist Lake, Main Basin","Schist Lake, Main Basin",Schist Lake,Biomonitoring,"Schist Lake, Main Basin",,"Zinc, Copper, Iron",https://www.manitoba.ca/iem/geo/field/roa08pdfs/GS-2.pdf,5,"['Sialidae', 'Naididae', 'Chironomidae',' Chaoboridae']",2,"['Limnodrilus claparedianus', 'Chaoborus flavicans']"
SLMB24-L1-SED-R4,HBMS Flin Flon Metallurgical Complex,SLMB24-L1-SED-R4,SLMB24-L1-SED-R4,SLMB,SLMB24-L1-SED-R4,54.66182876,-101.8169172,Schist Lake Main Basin,Manitoba,Northern Manitoba,"Schist Lake, Main Basin","Schist Lake, Main Basin",Schist Lake,Biomonitoring,"Schist Lake, Main Basin",,"Zinc, Copper, Iron",https://www.manitoba.ca/iem/geo/field/roa08pdfs/GS-2.pdf,5,"['Sialidae', 'Naididae', 'Chironomidae',' Chaoboridae']",2,"['Limnodrilus claparedianus', 'Chaoborus flavicans']"
SLMB24-L1-SED-R5,HBMS Flin Flon Metallurgical Complex,SLMB24-L1-SED-R5,SLMB24-L1-SED-R5,SLMB,SLMB24-L1-SED-R5,54.66175689,-101.8173,Schist Lake Main Basin,Manitoba,Northern Manitoba,"Schist Lake, Main Basin","Schist Lake, Main Basin",Schist Lake,Biomonitoring,"Schist Lake, Main Basin",,"Zinc, Copper, Iron",https://www.manitoba.ca/iem/geo/field/roa08pdfs/GS-2.pdf,5,"['Sialidae', 'Naididae', 'Chironomidae',' Chaoboridae']",2,"['Limnodrilus claparedianus', 'Chaoborus flavicans']"
SLNW24-L1-SED-R1,HBMS Flin Flon Metallurgical Complex,SLNW24-L1-SED-R1,SLNW24-L1-SED-R1,SLNW,SLNW24-L1-SED-R1,54.73074933,-101.8330868,Schist Lake Northwest Arm,Manitoba,Northern Manitoba,Schist Lake West Arm,Schist Lake West Arm,Schist Lake,Historic,"Schist Lake, West Arm",MB Provincial data from historic records,"Zinc, Copper, Iron",https://www.manitoba.ca/iem/geo/field/roa08pdfs/GS-2.pdf,0,N/A,0,N/A
SLNW24-L1-SED-R2,HBMS Flin Flon Metallurgical Complex,SLNW24-L1-SED-R2,SLNW24-L1-SED-R2,SLNW,SLNW24-L1-SED-R2,54.73112681,-101.8338588,Schist Lake Northwest Arm,Manitoba,Northern Manitoba,Schist Lake West Arm,Schist Lake West Arm,Schist Lake,Historic,"Schist Lake, West Arm",MB Provincial data from historic records,"Zinc, Copper, Iron",https://www.manitoba.ca/iem/geo/field/roa08pdfs/GS-2.pdf,0,N/A,0,N/A
SLNW24-L1-SED-R3,HBMS Flin Flon Metallurgical Complex,SLNW24-L1-SED-R3,SLNW24-L1-SED-R3,SLNW,SLNW24-L1-SED-R3,54.73095808,-101.8337694,Schist Lake Northwest Arm,Manitoba,Northern Manitoba,Schist Lake West Arm,Schist Lake West Arm,Schist Lake,Historic,"Schist Lake, West Arm",MB Provincial data from historic records,"Zinc, Copper, Iron",https://www.manitoba.ca/iem/geo/field/roa08pdfs/GS-2.pdf,0,N/A,0,N/A
SLNW24-L1-SED-R4,HBMS Flin Flon Metallurgical Complex,SLNW24-L1-SED-R4,SLNW24-L1-SED-R4,SLNW,SLNW24-L1-SED-R4,54.73061688,-101.8329843,Schist Lake Northwest Arm,Manitoba,Northern Manitoba,Schist Lake West Arm,Schist Lake West Arm,Schist Lake,Historic,"Schist Lake, West Arm",MB Provincial data from historic records,"Zinc, Copper, Iron",https://www.manitoba.ca/iem/geo/field/roa08pdfs/GS-2.pdf,0,N/A,0,N/A
SLNW24-L1-SED-R5,HBMS Flin Flon Metallurgical Complex,SLNW24-L1-SED-R5,SLNW24-L1-SED-R5,SLNW,SLNW24-L1-SED-R5,54.73085874,-101.8334051,Schist Lake Northwest Arm,Manitoba,Northern Manitoba,Schist Lake West Arm,Schist Lake West Arm,Schist Lake,Historic,"Schist Lake, West Arm",MB Provincial data from historic records,"Zinc, Copper, Iron",https://www.manitoba.ca/iem/geo/field/roa08pdfs/GS-2.pdf,0,N/A,0,N/A
MIRL24-L1-SED-R1,HBMS Flin Flon Metallurgical Complex,MIRL24-L1-SED-R1,MIRL24-L1-SED-R1,MIRL,MIRL24-L1-SED-R1,54.99016205,-102.7677077,Mirond Lake,Saskatchewan,Division No. 18,Mirond Lake,Mirond Lake,Mirond Lake,Biomonitoring,Mirond Lake,2024 Fish Monitoring Program,N/A,N/A,N/A,N/A,N/A,N/A
MIRL24-L1-SED-R2,HBMS Flin Flon Metallurgical Complex,MIRL24-L1-SED-R2,MIRL24-L1-SED-R2,MIRL,MIRL24-L1-SED-R2,54.99008174,-102.7682281,Mirond Lake,Saskatchewan,Division No. 18,Mirond Lake,Mirond Lake,Mirond Lake,Biomonitoring,Mirond Lake,2024 Fish Monitoring Program,N/A,N/A,N/A,N/A,N/A,N/A
